WEEK,MONTH,DATE,WDAY,DAYTYPE,SHIFT,ROUTE,CREEL
1,Mar,2019-03-01,Fri,WEEKDAY,am,Ash-Wash,YES
1,Mar,2019-03-02,Sat,WEEKEND,pm,Ash-Wash,YES
1,Mar,2019-03-03,Sun,WEEKEND,pm,Ash-Wash,YES
2,Mar,2019-03-04,Mon,WEEKDAY,am,Ash-Wash,YES
2,Mar,2019-03-05,Tue,WEEKDAY,am,Ash-Wash,YES
2,Mar,2019-03-06,Wed,WEEKDAY,pm,Ash-Wash,YES
2,Mar,2019-03-07,Thu,WEEKDAY,,,NO
2,Mar,2019-03-08,Fri,WEEKDAY,,,NO
2,Mar,2019-03-09,Sat,WEEKEND,am,Ash-Wash,YES
2,Mar,2019-03-10,Sun,WEEKEND,am,Ash-Wash,YES
3,Mar,2019-03-11,Mon,WEEKDAY,pm,Ash-Wash,YES
3,Mar,2019-03-12,Tue,WEEKDAY,,,NO
3,Mar,2019-03-13,Wed,WEEKDAY,,,NO
3,Mar,2019-03-14,Thu,WEEKDAY,am,Ash-Wash,YES
3,Mar,2019-03-15,Fri,WEEKDAY,am,Ash-Wash,YES
3,Mar,2019-03-16,Sat,WEEKEND,am,Ash-Wash,YES
3,Mar,2019-03-17,Sun,WEEKEND,pm,Ash-Wash,YES
4,Mar,2019-03-18,Mon,WEEKDAY,am,Ash-Wash,YES
4,Mar,2019-03-19,Tue,WEEKDAY,pm,Ash-Wash,YES
4,Mar,2019-03-20,Wed,WEEKDAY,am,Ash-Wash,YES
4,Mar,2019-03-21,Thu,WEEKDAY,,,NO
4,Mar,2019-03-22,Fri,WEEKDAY,,,NO
4,Mar,2019-03-23,Sat,WEEKEND,am,Ash-Wash,YES
4,Mar,2019-03-24,Sun,WEEKEND,pm,Ash-Wash,YES
5,Mar,2019-03-25,Mon,WEEKDAY,pm,Ash-Wash,YES
5,Mar,2019-03-26,Tue,WEEKDAY,,,NO
5,Mar,2019-03-27,Wed,WEEKDAY,,,NO
5,Mar,2019-03-28,Thu,WEEKDAY,pm,Ash-Wash,YES
5,Mar,2019-03-29,Fri,WEEKDAY,pm,Ash-Wash,YES
5,Mar,2019-03-30,Sat,WEEKEND,pm,Ash-Wash,YES
5,Mar,2019-03-31,Sun,WEEKEND,am,Ash-Wash,YES
6,Apr,2019-04-01,Mon,WEEKDAY,,,NO
6,Apr,2019-04-02,Tue,WEEKDAY,,,NO
6,Apr,2019-04-03,Wed,WEEKDAY,am,Ash-Wash,YES
6,Apr,2019-04-04,Thu,WEEKDAY,am,Ash-Wash,YES
6,Apr,2019-04-05,Fri,WEEKDAY,am,Ash-Wash,YES
6,Apr,2019-04-06,Sat,WEEKEND,am,Ash-Wash,YES
6,Apr,2019-04-07,Sun,WEEKEND,am,Ash-Wash,YES
7,Apr,2019-04-08,Mon,WEEKDAY,pm,Ash-Wash,YES
7,Apr,2019-04-09,Tue,WEEKDAY,,,NO
7,Apr,2019-04-10,Wed,WEEKDAY,,,NO
7,Apr,2019-04-11,Thu,WEEKDAY,pm,Ash-Wash,YES
7,Apr,2019-04-12,Fri,WEEKDAY,pm,Ash-Wash,YES
7,Apr,2019-04-13,Sat,WEEKEND,am,Ash-Wash,YES
7,Apr,2019-04-14,Sun,WEEKEND,pm,Ash-Wash,YES
8,Apr,2019-04-15,Mon,WEEKDAY,,,NO
8,Apr,2019-04-16,Tue,WEEKDAY,,,NO
8,Apr,2019-04-17,Wed,WEEKDAY,am,Ash-Wash,YES
8,Apr,2019-04-18,Thu,WEEKDAY,pm,Ash-Wash,YES
8,Apr,2019-04-19,Fri,WEEKDAY,pm,Ash-Wash,YES
8,Apr,2019-04-20,Sat,WEEKEND,pm,Ash-Wash,YES
8,Apr,2019-04-21,Sun,WEEKEND,pm,Ash-Wash,YES
9,Apr,2019-04-22,Mon,WEEKDAY,am,Ash-Wash,YES
9,Apr,2019-04-23,Tue,WEEKDAY,am,Ash-Wash,YES
9,Apr,2019-04-24,Wed,WEEKDAY,,,NO
9,Apr,2019-04-25,Thu,WEEKDAY,,,NO
9,Apr,2019-04-26,Fri,WEEKDAY,pm,Ash-Wash,YES
9,Apr,2019-04-27,Sat,WEEKEND,pm,Ash-Wash,YES
9,Apr,2019-04-28,Sun,WEEKEND,am,Ash-Wash,YES
10,Apr,2019-04-29,Mon,WEEKDAY,,,NO
10,Apr,2019-04-30,Tue,WEEKDAY,,,NO
10,May,2019-05-01,Wed,WEEKDAY,pm,Ash-Wash,YES
10,May,2019-05-02,Thu,WEEKDAY,pm,Ash-Wash,YES
10,May,2019-05-03,Fri,WEEKDAY,am,Ash-Wash,YES
10,May,2019-05-04,Sat,WEEKEND,pm,Ash-Wash,YES
10,May,2019-05-05,Sun,WEEKEND,pm,Ash-Wash,YES
11,May,2019-05-06,Mon,WEEKDAY,am,Ash-Wash,YES
11,May,2019-05-07,Tue,WEEKDAY,pm,Ash-Wash,YES
11,May,2019-05-08,Wed,WEEKDAY,,,NO
11,May,2019-05-09,Thu,WEEKDAY,,,NO
11,May,2019-05-10,Fri,WEEKDAY,am,Ash-Wash,YES
11,May,2019-05-11,Sat,WEEKEND,am,Ash-Wash,YES
11,May,2019-05-12,Sun,WEEKEND,am,Ash-Wash,YES
12,May,2019-05-13,Mon,WEEKDAY,am,Ash-Wash,YES
12,May,2019-05-14,Tue,WEEKDAY,pm,Ash-Wash,YES
12,May,2019-05-15,Wed,WEEKDAY,am,Ash-Wash,YES
12,May,2019-05-16,Thu,WEEKDAY,,,NO
12,May,2019-05-17,Fri,WEEKDAY,,,NO
12,May,2019-05-18,Sat,WEEKEND,pm,Ash-Wash,YES
12,May,2019-05-19,Sun,WEEKEND,am,Ash-Wash,YES
13,May,2019-05-20,Mon,WEEKDAY,pm,Ash-Wash,YES
13,May,2019-05-21,Tue,WEEKDAY,,,NO
13,May,2019-05-22,Wed,WEEKDAY,,,NO
13,May,2019-05-23,Thu,WEEKDAY,am,Ash-Wash,YES
13,May,2019-05-24,Fri,WEEKDAY,am,Ash-Wash,YES
13,May,2019-05-25,Sat,WEEKEND,am,Ash-Wash,YES
13,May,2019-05-26,Sun,WEEKEND,am,Ash-Wash,YES
14,May,2019-05-27,Mon,HOLIDAY,pm,Ash-Wash,YES
14,May,2019-05-28,Tue,WEEKDAY,pm,Ash-Wash,YES
14,May,2019-05-29,Wed,WEEKDAY,,,NO
14,May,2019-05-30,Thu,WEEKDAY,,,NO
14,May,2019-05-31,Fri,WEEKDAY,pm,Ash-Wash,YES
14,Jun,2019-06-01,Sat,WEEKEND,pm,Ash-Wash,YES
14,Jun,2019-06-02,Sun,WEEKEND,am,Ash-Wash,YES
15,Jun,2019-06-03,Mon,WEEKDAY,,,NO
15,Jun,2019-06-04,Tue,WEEKDAY,,,NO
15,Jun,2019-06-05,Wed,WEEKDAY,am,Ash-Wash,YES
15,Jun,2019-06-06,Thu,WEEKDAY,pm,Ash-Wash,YES
15,Jun,2019-06-07,Fri,WEEKDAY,am,Ash-Wash,YES
15,Jun,2019-06-08,Sat,WEEKEND,am,Ash-Wash,YES
15,Jun,2019-06-09,Sun,WEEKEND,pm,Ash-Wash,YES
16,Jun,2019-06-10,Mon,WEEKDAY,am,Ash-Wash,YES
16,Jun,2019-06-11,Tue,WEEKDAY,,,NO
16,Jun,2019-06-12,Wed,WEEKDAY,,,NO
16,Jun,2019-06-13,Thu,WEEKDAY,pm,Ash-Wash,YES
16,Jun,2019-06-14,Fri,WEEKDAY,pm,Ash-Wash,YES
16,Jun,2019-06-15,Sat,WEEKEND,pm,Ash-Wash,YES
16,Jun,2019-06-16,Sun,WEEKEND,pm,Ash-Wash,YES
17,Jun,2019-06-17,Mon,WEEKDAY,pm,Ash-Wash,YES
17,Jun,2019-06-18,Tue,WEEKDAY,am,Ash-Wash,YES
17,Jun,2019-06-19,Wed,WEEKDAY,am,Ash-Wash,YES
17,Jun,2019-06-20,Thu,WEEKDAY,,,NO
17,Jun,2019-06-21,Fri,WEEKDAY,,,NO
17,Jun,2019-06-22,Sat,WEEKEND,am,Ash-Wash,YES
17,Jun,2019-06-23,Sun,WEEKEND,pm,Ash-Wash,YES
18,Jun,2019-06-24,Mon,WEEKDAY,am,Ash-Wash,YES
18,Jun,2019-06-25,Tue,WEEKDAY,,,NO
18,Jun,2019-06-26,Wed,WEEKDAY,,,NO
18,Jun,2019-06-27,Thu,WEEKDAY,pm,Ash-Wash,YES
18,Jun,2019-06-28,Fri,WEEKDAY,pm,Ash-Wash,YES
18,Jun,2019-06-29,Sat,WEEKEND,am,Ash-Wash,YES
18,Jun,2019-06-30,Sun,WEEKEND,am,Ash-Wash,YES
19,Jul,2019-07-01,Mon,WEEKDAY,,,NO
19,Jul,2019-07-02,Tue,WEEKDAY,,,NO
19,Jul,2019-07-03,Wed,WEEKDAY,pm,Ash-Wash,YES
19,Jul,2019-07-04,Thu,HOLIDAY,pm,Ash-Wash,YES
19,Jul,2019-07-05,Fri,WEEKDAY,am,Ash-Wash,YES
19,Jul,2019-07-06,Sat,WEEKEND,pm,Ash-Wash,YES
19,Jul,2019-07-07,Sun,WEEKEND,pm,Ash-Wash,YES
20,Jul,2019-07-08,Mon,WEEKDAY,am,Ash-Wash,YES
20,Jul,2019-07-09,Tue,WEEKDAY,am,Ash-Wash,YES
20,Jul,2019-07-10,Wed,WEEKDAY,,,NO
20,Jul,2019-07-11,Thu,WEEKDAY,,,NO
20,Jul,2019-07-12,Fri,WEEKDAY,am,Ash-Wash,YES
20,Jul,2019-07-13,Sat,WEEKEND,am,Ash-Wash,YES
20,Jul,2019-07-14,Sun,WEEKEND,am,Ash-Wash,YES
21,Jul,2019-07-15,Mon,WEEKDAY,pm,Ash-Wash,YES
21,Jul,2019-07-16,Tue,WEEKDAY,pm,Ash-Wash,YES
21,Jul,2019-07-17,Wed,WEEKDAY,am,Ash-Wash,YES
21,Jul,2019-07-18,Thu,WEEKDAY,,,NO
21,Jul,2019-07-19,Fri,WEEKDAY,,,NO
21,Jul,2019-07-20,Sat,WEEKEND,am,Ash-Wash,YES
21,Jul,2019-07-21,Sun,WEEKEND,pm,Ash-Wash,YES
22,Jul,2019-07-22,Mon,WEEKDAY,pm,Ash-Wash,YES
22,Jul,2019-07-23,Tue,WEEKDAY,,,NO
22,Jul,2019-07-24,Wed,WEEKDAY,,,NO
22,Jul,2019-07-25,Thu,WEEKDAY,am,Ash-Wash,YES
22,Jul,2019-07-26,Fri,WEEKDAY,pm,Ash-Wash,YES
22,Jul,2019-07-27,Sat,WEEKEND,am,Ash-Wash,YES
22,Jul,2019-07-28,Sun,WEEKEND,am,Ash-Wash,YES
23,Jul,2019-07-29,Mon,WEEKDAY,,,NO
23,Jul,2019-07-30,Tue,WEEKDAY,,,NO
23,Jul,2019-07-31,Wed,WEEKDAY,pm,Ash-Wash,YES
23,Aug,2019-08-01,Thu,WEEKDAY,am,Ash-Wash,YES
23,Aug,2019-08-02,Fri,WEEKDAY,pm,Ash-Wash,YES
23,Aug,2019-08-03,Sat,WEEKEND,pm,Ash-Wash,YES
23,Aug,2019-08-04,Sun,WEEKEND,pm,Ash-Wash,YES
24,Aug,2019-08-05,Mon,WEEKDAY,am,Ash-Wash,YES
24,Aug,2019-08-06,Tue,WEEKDAY,,,NO
24,Aug,2019-08-07,Wed,WEEKDAY,,,NO
24,Aug,2019-08-08,Thu,WEEKDAY,am,Ash-Wash,YES
24,Aug,2019-08-09,Fri,WEEKDAY,pm,Ash-Wash,YES
24,Aug,2019-08-10,Sat,WEEKEND,am,Ash-Wash,YES
24,Aug,2019-08-11,Sun,WEEKEND,am,Ash-Wash,YES
25,Aug,2019-08-12,Mon,WEEKDAY,,,NO
25,Aug,2019-08-13,Tue,WEEKDAY,,,NO
25,Aug,2019-08-14,Wed,WEEKDAY,am,Ash-Wash,YES
25,Aug,2019-08-15,Thu,WEEKDAY,pm,Ash-Wash,YES
25,Aug,2019-08-16,Fri,WEEKDAY,pm,Ash-Wash,YES
25,Aug,2019-08-17,Sat,WEEKEND,pm,Ash-Wash,YES
25,Aug,2019-08-18,Sun,WEEKEND,am,Ash-Wash,YES
26,Aug,2019-08-19,Mon,WEEKDAY,am,Ash-Wash,YES
26,Aug,2019-08-20,Tue,WEEKDAY,am,Ash-Wash,YES
26,Aug,2019-08-21,Wed,WEEKDAY,,,NO
26,Aug,2019-08-22,Thu,WEEKDAY,,,NO
26,Aug,2019-08-23,Fri,WEEKDAY,pm,Ash-Wash,YES
26,Aug,2019-08-24,Sat,WEEKEND,pm,Ash-Wash,YES
26,Aug,2019-08-25,Sun,WEEKEND,am,Ash-Wash,YES
27,Aug,2019-08-26,Mon,WEEKDAY,,,NO
27,Aug,2019-08-27,Tue,WEEKDAY,,,NO
27,Aug,2019-08-28,Wed,WEEKDAY,pm,Ash-Wash,YES
27,Aug,2019-08-29,Thu,WEEKDAY,am,Ash-Wash,YES
27,Aug,2019-08-30,Fri,WEEKDAY,pm,Ash-Wash,YES
27,Aug,2019-08-31,Sat,WEEKEND,pm,Ash-Wash,YES
27,Sep,2019-09-01,Sun,WEEKEND,pm,Ash-Wash,YES
28,Sep,2019-09-02,Mon,HOLIDAY,am,Ash-Wash,YES
28,Sep,2019-09-03,Tue,WEEKDAY,,,NO
28,Sep,2019-09-04,Wed,WEEKDAY,,,NO
28,Sep,2019-09-05,Thu,WEEKDAY,am,Ash-Wash,YES
28,Sep,2019-09-06,Fri,WEEKDAY,pm,Ash-Wash,YES
28,Sep,2019-09-07,Sat,WEEKEND,pm,Ash-Wash,YES
28,Sep,2019-09-08,Sun,WEEKEND,am,Ash-Wash,YES
29,Sep,2019-09-09,Mon,WEEKDAY,am,Ash-Wash,YES
29,Sep,2019-09-10,Tue,WEEKDAY,pm,Ash-Wash,YES
29,Sep,2019-09-11,Wed,WEEKDAY,,,NO
29,Sep,2019-09-12,Thu,WEEKDAY,,,NO
29,Sep,2019-09-13,Fri,WEEKDAY,pm,Ash-Wash,YES
29,Sep,2019-09-14,Sat,WEEKEND,am,Ash-Wash,YES
29,Sep,2019-09-15,Sun,WEEKEND,am,Ash-Wash,YES
30,Sep,2019-09-16,Mon,WEEKDAY,,,NO
30,Sep,2019-09-17,Tue,WEEKDAY,,,NO
30,Sep,2019-09-18,Wed,WEEKDAY,pm,Ash-Wash,YES
30,Sep,2019-09-19,Thu,WEEKDAY,am,Ash-Wash,YES
30,Sep,2019-09-20,Fri,WEEKDAY,am,Ash-Wash,YES
30,Sep,2019-09-21,Sat,WEEKEND,am,Ash-Wash,YES
30,Sep,2019-09-22,Sun,WEEKEND,pm,Ash-Wash,YES
31,Sep,2019-09-23,Mon,WEEKDAY,am,Ash-Wash,YES
31,Sep,2019-09-24,Tue,WEEKDAY,pm,Ash-Wash,YES
31,Sep,2019-09-25,Wed,WEEKDAY,,,NO
31,Sep,2019-09-26,Thu,WEEKDAY,,,NO
31,Sep,2019-09-27,Fri,WEEKDAY,am,Ash-Wash,YES
31,Sep,2019-09-28,Sat,WEEKEND,pm,Ash-Wash,YES
31,Sep,2019-09-29,Sun,WEEKEND,pm,Ash-Wash,YES
32,Sep,2019-09-30,Mon,WEEKDAY,pm,Ash-Wash,YES
